ref,organisation,category,id,link,version,title,subtitle,description,body,created,updated,access,state,keywords,supersedes,superseded
ST680,OpenEHR,Specification,,https://specifications.openehr.org/releases/LANG/Release-1.0.0/bmm_persistence.html,LANG 1.0.0,BMM Persistence Model and Syntax vLANG 1.0.0,,This document describes a persistence model for the Basic Meta-Model (BMM) that may be used as a basis for serialisation of BMM models.,"This document describes a persistence model for the Basic Meta-Model (BMM) that may be used as a basis for serialisation of BMM models. It may be considered an approximate replacement for the UML XMI for data-only models. It is human-readable and writable and supports generic types (open and closed), container types, and multiple inheritance.
Main sections:
· Overview
· Persistence package
BMM persistence syntax",2016,Sep-19,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Persistence
BMM
LANG",,
ST679,OpenEHR,Specification,,https://specifications.openehr.org/releases/LANG/Release-1.0.0/bmm.html,LANG 1.0.0,Basic Meta-Model (BMM) vLANG 1.0.0,,"This document describes the Basic Meta-Model (BMM), a model of object models that can be used for reasoning about the models, performing validation and consistency checking, building software and generating documentation.","An open computing environment requires a computable representation of its own models. This representation can be used for reasoning about the models, performing validation and consistency checking, building software and generating documentation.
This document describes the Basic Meta-Model (BMM), a model of object models. It may be considered as an approximate replacement for the UML XMI (UML XML metadata interchange). It is human-readable and writable and supports generic types (open and closed), container types and multiple inheritance.
Main sections:
· Overview
· Model access package
· Model structure
· Types
· Classes
· Class features
· Literal values
· Expressions
· Functional elements
· Statements
· Model semantics
· BMM extensions",2016,May-20,Open,Trial,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Meta-model
BMM
LANG",,
ST1129,OpenEHR,Specification,,https://specifications.openehr.org/releases/ITS-XML/Release-2.0.0,2.0.0,XML Schemas (ITS-XML) Component - 2.0.0,,This resource provides the latest released specifications of XML Schemas (ITS-XML) Component.,"This resource provides the latest released specifications of XML Schemas (ITS-XML) Component.
Main sections:
· AM 1.4 XSDs
· AM 2 XSDs
· BASE XSDs
· RM XSDs
· OET XSDs
· QUERY XSDs",Apr-21,,Open,Trial,"openEHR
Specification
Developer resource
Electronic health records
Schemas
ITS-XML",,
ST717,OpenEHR,Specification,,https://specifications.openehr.org/releases/ITS-XML/Release-1.0.2,1.0.2,XML Schemas (ITS-XML) Component v1.0.2,,This document gives a high-level overview of the XML Schemas (ITS-XML) Component 1.0.2.,"This document gives a high-level overview of the XML Schemas (ITS-XML) Component 1.0.2. It includes active including active XSDs, XSDs in development, and the development version of XML Schemas specifications.
Main sections:
· Specifications
· Releases
· Work in progress
· Computable expressions
· Issues fixed
· Changes implemented
· Roadmap
· History",Nov-18,,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
XML
ITS
Schemas",,
ST707,OpenEHR,Specification,,https://specifications.openehr.org/releases/ITS-XML/latest/components/AM/Release-1.4/,AM 1.4,Operational Template 1.4 (OPT) – (XML Schemas [ITS-XML] Component - 2.0.0) vAM 1.4,,This resource provides the XML Schemas specifications for AM Release 1.4.,"This resource provides the XML Schemas specifications for AM Release 1.4.
Main sections:
· Archetype.xsd
· OpenhrProfile.xsd
· Template.xsd
· Resource.xsd",2008,,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
XML
Schemas
Operational template
OPT1.4",,
ST712,OpenEHR,Specification,,https://specifications.openehr.org/releases/ITS-REST/Release-1.0.2/simplified_data_template.html,ITS-REST 1.0.2,Simplified Data Template (SDT) vITS-REST 1.0.2,,This document describes a simplified template (ST) format that enables easier creation of openEHR content.,"This document describes a simplified template (ST) format that is intended to be easier to use than the canonical formats. It is intended for use by typical developers with minimal exposure to openEHR. The ST and other simplified formats are designed to enable easier creation of openEHR content.
Main sections:
· Overview
· Conceptual approach
· Simplified OPT generation
· Simple template concrete formats
· Instance conversion",Jul-19,Mar-21,Open,Draft,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
ST
Simplified template",,
ST711,OpenEHR,Specification,,https://specifications.openehr.org/releases/ITS-REST/Release-1.0.2,1.0.2,REST API Specifications (ITS-REST) Component v1.0.2,,This document lays out the latest versions of REST API Specifications (ITS-REST) Component as at April 2021.,"This document lays out the latest versions of REST API Specifications (ITS-REST) Component as at April 2021. It includes the relevant specifications, a summary of prior releases, work in progress, and computable expressions in the form of Blueprint (.apib) files.
Main sections:
· Specifications (Overview, EHR API, Query API, Definitions API, SDT)
· Releases
· Work in progress
· Computable expressions
· Issues fixed
· Changes implemented
· Roadmap
· History",Dec-18,Apr-21,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
REST
API",,
ST696,OpenEHR,Specification,,https://specifications.openehr.org/releases/ITS-JSON/latest,,JSON Schemas (ITS-JSON) Component – development,,This development version of specifications of JSON Schemas (ITS-JSON) Component is for use with openEHR systems and tools.,"The JavaScript Object Notation (JSON) Schema establishes a common language for data exchange across openEHR systems. It allows validation, annotation, and manipulation of JSON documents.
This development version of specifications of JSON Schemas (ITS-JSON) Component is for use with openEHR systems and tools.",,,Open,Draft,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Data validation",,
ST681,OpenEHR,Specification,,https://specifications.openehr.org/releases/ITS-BMM/latest,,BMM Schemas (ITS-BMM) Component - development,,"This document captures the specifications, work in progress, and computable expressions for the development of the BMM Schemas (ITS-BMM) Component.","This resource captures the specifications, work in progress, and computable expressions for the development of the BMM Schemas (ITS-BMM) Component.
Main sections:
· Open issues
· Roadmap
· History
· Specification
· Work in progress
· Computable expressions
· AM releases
· LANG releases
· RM releases
· BASE releases
· PROC releases",,,Open,Draft,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
BMM
Schemas
ITS-BMM",,
ST702,OpenEHR,Specification,,https://specifications.openehr.org/releases/CNF/latest/profiles.html,CNF development,Platform Profiles,,"This document specifies the openEHR Platform profiles, which are used during conformance testing to capture the required functionality for a particular category of solution.","This document specifies the openEHR Platform profiles, which are used during conformance testing to capture the required functionality for a particular category of solution. A profile is a particular list of platform components and capabilities that can be combined to specify a particular kind of solution. For example, an openEHR Demographics product would treat most or all of the Demographic capabilities as mandatory, as well as providing support for definitions and logging.
The document is primarily intended for software development organisations developing healthcare information systems and customer (i.e. procuring) organisations.
Main sections:
· Purpose
· Overview
· Default profiles: functional, non-functional, other non-functional",Jan-22,,Open,Draft,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Conformance
Testing
Platform
Profile",,
ST701,OpenEHR,Guideline,,https://specifications.openehr.org/releases/CNF/latest/platform_test_schedule.html,CNF development,Conformance Test Schedule,,"This document specifies the openEHR Platform Conformance test schedule, which can be used to determine the conformance of openEHR products to openEHR platform-related specifications.","This document specifies the openEHR Platform Conformance test schedule, which may be used to determine the conformance of openEHR products to openEHR platform-related specifications. The document is intended primarily for software development organisations developing healthcare information systems and customer (i.e. procuring) organisations.
Main sections:
· Overview
· Test suite: DEFINITION Service / I_DEFINITION_ADL2 and I_DEFINITION_ADL14 Interfaces
· Test suite: DEFINITION Service / I_DEFINITION_QUERY Interface
· Test suite: EHR_SERVICE
· Test suite: EHR_SERVICE / I_COMPOSITION Interface
· Test suite: EHR_SERVICE / I_CONTRIBUTION Interface
· Test suite: EHR_SERVICE / I_DIRECTORY Interface
· Test suite: DEMOGRAPHIC_SERVICE
· Test suite: QUERY_SERVICE
· Test suite: ADMIN_SERVICE
· Test suite: MESSAGE_SERVICE
· Data validation conformance",Jun-17,Mar-22,Open,Draft,"OpenEHR
Guideline
Developer resource
Electronic health records
Data exchange
Conformance
Testing
Schedule",,
ST700,OpenEHR,Guideline,,https://specifications.openehr.org/releases/CNF/latest/guide.html,CNF development,Conformance Guide,,This document provides a framework and methodology for the conformance testing of openEHR-based systems and products to the intended specifications.,"Conformance testing is used as the basis of product and system certification. It has the goals of tendering, protection for solution developers, and protection for procurement.
This document provides a framework and methodology for the conformance testing of openEHR-based systems and products to the intended specifications. The approach described here is not openEHR-specific and may be applied to other components deployed as part of an overall platform solution.
Main sections:
· Overview
· Conformance framework
· Conformance assessment (including test environment, tooling, test execution report, conformance statement and conformance certification)",Jan-22,,Open,Draft,"OpenEHR
Guideline
Developer resource
Electronic health records
Data exchange
Conformance
Testing",,
ST699,OpenEHR,Specification,,https://specifications.openehr.org/releases/CNF/latest/certificate.html,CNF development,Conformance Certificate,,"This document defines a template for openEHR Conformance Certificate, a document generated as the result of executing a conformance test schedule against a running system or application.","The openEHR Conformance Certificate is a document generated as the result of executing a conformance test schedule against a running system or application (which may be a product or a particular healthcare system or environment). The document is intended for use by software development organisations developing healthcare information systems and customer (i.e. procuring) organisations.
Main sections:
· Overview
· Conformance certificate
· System Under Test (SUT)
· Scope of test
· Detailed test report
· Profile report
· Amendment record",Jan-22,,Open,Draft,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Conformance
Testing
Certificate",,
ST692,OpenEHR,Specification,,https://specifications.openehr.org/releases/CDS/Release-2.0.0/GDL.html,CDS latest,Guideline Definition Language (GDL),,"This document provides the design specifications of the Guideline Definition Language, which is a formal language for expressing decision support logic in openEHR systems.","This document provides the design specifications of the Guideline Definition Language (GDL), which is a formal language for expressing decision support logic. It expresses clinical logic as production rules, which can be combined to support decision-making processes. These rules can be used to drive at-point-of-care decision support as well as retrospective populational analytics.
This specification helps overcome challenges in sharing clinical decision support content by providing a commonly shared clinical information model and flexible support for various language resources.
Main sections:
· Overview
· Design
· Implementation",2015,May-19,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Clinical decision support",,
ST693,OpenEHR,Specification,,https://specifications.openehr.org/releases/CDS/latest/GDL2.html,CDS 2.0.1,Guideline Definition Language v2 (GDL2) vCDS 2.0.1,,"This document contains the design specifications of the Guideline Definition Language version 2, which is a formal language for expressing decision support logic.","Two main challenges to sharing clinical decision support content across sites are the lack of commonly shared clinical information models and flexible support for various language resources.
This document contains the design specifications of the Guideline Definition Language version 2 (GDL2), which is a formal language for expressing decision support logic in openEHR systems. It expresses clinical logic as production rules, which can be combined to support decision-making processes. These rules can be used to drive at-point-of-care decision support as well as retrospective populational analytics.
This specification helps overcome challenges in sharing clinical decision support content by providing a commonly shared clinical information model and flexible support for various language resources. GDL2 can support prompts, alerts and reminders; interactive single-screen decision support applications; detailed order-sets and care process support; algorithm-based calculators and more.
GDL2 introduces the following changes from the original GDL release:
· Data binding agnostic to EHR data models (e.g. openEHR / ISO 13606 / HL7 FHIR)
· Template definition for output objects with new use_template statement with template-level variables; this enables, for example CDS-Hooks Cards & Suggestions as result of rule executions
· Individual references and ability to reference to specific items in the rules
· More math functions support.
Main sections:
· Overview
· Requirements
· GDL2 semantics
· GDL2 object model
· Syntax specification
· Amendment record",2019,May-19,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
GDL2",,
ST710,OpenEHR,Specification,,https://specifications.openehr.org/releases/BASE/Release-1.2.0/resource.html,BASE 1.2.0,Resource Model vBASE 1.2.0,,"This document describes the openEHR Resource Model, including identification, metadata, annotations and translations.","This document describes the openEHR Resource Model, including identification, metadata, annotations and translations. It is primarily intended for standards bodies producing health informatics standards, academic groups using openEHR. solution vendors, and medical informaticians and clinicians interested in health information.
Main sections:
· Overview: natural languages and translation, metadata, revision history
· Class description: AUTHORED_RESOURCE Class
· Class description: TRANSLATION_DETAILS Class
· Class description: RESOURCE_DESCRIPTION Class
· Class description: RESOURCE_DESCRIPTION_ITEM Class",Nov-19,Feb-21,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Resource Model
RM",,
ST691,OpenEHR,Specification,,https://specifications.openehr.org/releases/BASE/Release-1.2.0/foundation_types.html,BASE Release-1.2.0,Foundation Types,,"This document describes the openEHR Foundation Types, which are a collection of built-in and library types for programming language used by other openEHR specifications.","This document describes the openEHR Foundation Types, which are a collection of built-in and library types for programming language used by other openEHR specifications. It describes generic low-level types used throughout openEHR components and specifications.
Main sections:
· Overview
· Primitive types
· Structure types
· Interval
· Times types
· Terminology package
· Functional meta-types
· Type cross reference",2020,Mar-21,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Programming language",,
ST678,OpenEHR,Specification,,https://specifications.openehr.org/releases/BASE/Release-1.2.0/base_types.html,BASE 1.2.0,Base Types vBASE 1.2.0,,"This document describes the openEHR Base Types, a collection of general types used by other openEHR specifications.","This document describes the openEHR Base Types, a collection of general types used by other openEHR specifications. These include definitions, enumerations, built-in types providing utility functions, identifier types and terminology-related types. The intended audience includes standards bodies producing health informatics standards, research groups using openEHR archetypes and related technologies, the open source healthcare community and solution vendors.
Main sections:
· Overview
· Definitions package
· Builtins package
· Identification package",2019,Nov-20,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Base types
Definitions",,
ST677,OpenEHR,Specification,,https://specifications.openehr.org/releases/BASE/Release-1.2.0/architecture_overview.html,1.2.0,Base Model (BASE) Component – 1.2.0,,"This document provides an overview of Base Model (BASE) Component Release 1.2.0. It includes relevant specifications, releases, and work in progress.","This document provides an overview of Base Model (BASE) Component Release 1.2.0. It includes links to relevant specifications, releases, and work in progress.
Main sections:
· Architecture overview
· Foundation types
· Base types
· Resource model
· ISO 18308 conformance
· Releases
· Work in progress
· Computable expressions
· Issues fixed
· Changes implemented
· Roadmap
· History",Apr-21,,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
BASE",,
ST676,OpenEHR,Specification,,https://specifications.openehr.org/releases/BASE/latest/architecture_overview.html,BASE 1.2.0,Architecture Overview vBASE 1.2.0,,"This document is the key technical overview of openEHR and should be read before all other technical documents. It provides an overview of the openEHR architecture in terms of model overview, key global semantics, deployment and integration architectures, relationship with published standards, and the approach to building Implementation Technology Specifications (ITSs).","This document is the key technical overview of openEHR and should be read before all other technical documents. It provides an overview of the openEHR architecture in terms of model overview, key global semantics, deployment and integration architectures, relationship with published standards, and the approach to building Implementation Technology Specifications (ITSs).
The intended audience includes standards bodies producing health informatics standards, academic groups using openEHR, the open source healthcare community and solution vendors.
Main sections:
· Overview
· Aims of the openEHR architecture
· Design principles
· openEHR specification structure
· Design of the openEHR EHR
· Security and confidentiality
· Versioning
· Identification
· Archetypes and templates
· Paths and locators
· Terminology in openEHR
· Deployment
· Integrating openEHR with other systems
· Relationship to Standards
· Implementation technology specifications",2019,Jan-20,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Architecture
Model
Overview
ITS
BASE",,
ST675,OpenEHR,Specification,,https://specifications.openehr.org/releases/AM/Release-2.3.0/Overview.html,AM 2.3.0,Archetype Technology Overview vAM 2.3.0,,This document provides a high-level description of the Archetype-based model environment that is designed to assists developers in understanding the environment’s formal specifications.,"Archetypes are a way of adding domain semantics to information models while avoiding endless growth and maintenance. The openEHR Archetype formalism primarily addresses the expression of models of possible data instance structures, rather than higher-level concepts such as workflows and clinical guidelines, although its general approach can be applied to any of these.
This document provides a high-level description of the Archetype-based model environment that is essential for understanding the formal specifications.
Main sections:
· Business purpose of archetypes
· Archetype formalism overview
· The specifications
· Semantic overview
· Artefacts",2019,,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Archetype
Overview
AM",,
ST708,OpenEHR,Specification,,https://specifications.openehr.org/releases/AM/Release-2.3.0/OPT2.html,AM 2.3.0,Operational Template 2 (OPT2) vAM 2.3.0,,This document provides the formal specification for the Operational Template (OPT) for Archetype Definition Language 2 (ADL2) artefacts.,"This document provides the formal specification of the Operational Template (OPT) for Archetype Definition Language 2 (ADL2) artefacts. The OPT is a first-generation 'compiled' artefact based on source archetypes and templates. It serves as the starting point for further downstream format generation (e.g. schemas, APIs) and the computational format for operational EHR systems using archetypes.
This specification is primarily intended for software developers.
Main sections:
· Overview
· The raw operational template
· The profiled operational template
· File formats",Jun-15,Jun-16,Open,Draft,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Operational template
OPT2",,
ST669,OpenEHR,Specification,,https://specifications.openehr.org/releases/AM/Release-2.3.0/Identification.html,AM 2.3.0,Archetype Identification vAM 2.3.0,,This document describes an identification system for openEHR archetypes (including templates).,"This document describes an identification system for openEHR archetypes (including templates). This includes archetypes created by any organisation, including the openEHR Foundation, standards bodies and clinical modelling initiatives and government programs.
The semantics covered include formal human-readable and machine identifiers, versioning, lifecycle management and states, referencing artefacts from elsewhere, dealing with transfer and forking, and supporting integrity and non-repudiation.
Main sections:
· Overview
· Source artefact identification
· Versioning
· Lifecycle model
· Distributed governance
· Referencing
· A reliable URI for knowledge resources
· Artefact authentication
· Scenarios",2018,Dec-19,Open,Active,"OpenEHR
Specification
Developer resource
Electronic health records
Data exchange
Archetype
Identification
AM",,
