ref,organisation,category,id,link,version,title,subtitle,description,body,created,updated,access,state,keywords,supersedes,superseded
ST740,World Health Organization (WHO),Specification,,ICD-11 for Mortality and Morbidity Statistics (who.int),,ICD-11 for Mortality and Morbidity Statistics,,This webpage allows the user to search the ICD-11 mortality and morbidity statistics on diseases and related health problems for the condition/s they are interested in.,"This webpage allows the user to search the International Statistical Classification of Diseases and Related Health Problems 11th revision (ICD-11) mortality and morbidity statistics on diseases and related health problems for the condition/s they are interested in. 
Main sections:
· Certain infectious and parasitic diseases
· Neoplasms 
· Diseases of the blood or blood-forming organs
· Diseases of the immune system
· Endocrine, nutritional or metabolic diseases 
· Mental, behavioural or neurodevelopmental disorders 
· Sleep-wake disorders
· Diseases of the nervous system 
· Diseases of the visual system 
· Diseases of the ear or mastoid process 
· Diseases of the circulatory system 
· Diseases of the respiratory system 
· Diseases of the digestive system 
· Diseases of the skin
· Diseases of the musculoskeletal system or connective tissue 
· Diseases of the genitourinary system 
· Conditions related to sexual health
· Pregnancy, childbirth or the puerperium 
· Certain conditions originating in the perinatal period 
· Developmental anomalies 
· Symptoms, signs or clinical findings, not elsewhere classified 
· Injury, poisoning or certain other consequences of external causes 
· External causes of morbidity or mortality 
· Factors influencing health status or contact with health services 
· Codes for special purposes
· Supplementary chapter Traditional Medicine conditions
· Supplementary section of functioning assessment
· Extension codes",Jan-24,,Open,Active,"WHO
Specification
Terminology
International Statistical Classification of Diseases
ICD-11
Disease classification
Morbidity statistics
Mortality statistics",,
ST734,Therapeutic Goods Administration (TGA),Supplementary Resource,,https://www.tga.gov.au/sites/default/files/standard-serialisation-and-data-matrix-codes-medicines.pdf,V 1.0,Standard for serialisation and data matrix codes on medicines v1.0,Guidance for TGO 106,This guidance is for sponsors and manufacturers supplying medicines in Australia that are serialised or have data matrix codes. It describes the requirements in the Therapeutic Goods (Medicines – Standard for Serialisation and Data Matrix Codes) (TGO 106) Order 2021.,"This guidance is for sponsors and manufacturers supplying medicines in Australia that are serialised or have data matrix codes. It describes the requirements in the Therapeutic Goods (Medicines – Standard for Serialisation and Data Matrix Codes) (TGO 106) Order 2021. The purpose of TGO 106 is to provide clarity for adopters of serialisation and data matrix codes on medicines supplied in Australia. It is the first step in establishing requirements that support all systems relying on the codes. Where possible, TGO 106 requirements align with global standards to provide consistency for sponsors and manufacturers operating in multiple jurisdictions and to ensure global interoperability.
Main sections:
· About this guidance
· About TGO 106
· Medicines that are subject to TGO 106 requirements
· Medicines that are exempt from TGO 106
· Machine-readable codes
· Serialised medicines
· Relevant level of packaging
· Requirements of TGO 106",Mar-21,,Open,Active,"TGA
Supplementary resource
Guidance document
Identifiers
Labelling
TGO 106
Serialisation on medicines
Barcodes on medicines",,
ST730,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/medical-device-patient-information-leaflets-and-implant-cards.pdf,1.9,Medical device patient information leaflets and implant cards (including acceptance of Implementation Plans) v1.9,,"This document aims to help manufacturers and sponsors understand the legislative requirements for patient information materials, such as patient implant cards and patient information leaflets, and how to comply with these requirements.","This document aims to help manufacturers and sponsors understand the legislative requirements for patient information materials, such as patient implant cards and patient information leaflets, and how to comply with these requirements.
Main sections:
· Patient information materials
· Patient information leaflets
· Patient implant cards
· Review by the TGA
· Reporting adverse events
· Attachment 1: Timetable for transition
· Attachment 2: Implantable medical devices exempted from requirements
· Attachment 3: Best practice for patient information leaflets and patient implant cards
· Attachment 4: Breast Implants – specific information to be included about adverse events
· Attachment 5: Urogynaecological meshes – specific information to be included about adverse events",Oct-22,May-23,Open,Active,"TGA
Guidance Document
Medical device
Patient information materials
Implant cards",,
ST729,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/medical-device-cyber-security-information-users.pdf,1.2,Medical device cyber security information for users v1.2,"Consumers, health professionals, small business operators and large scale service providers",This document describes cyber security practices and protocols for the medical device sector and aims to help medical device users manage cyber security risk.,"Medical devices are used in various environments and cyber security risks depend on the knowledge and approach of medical device users. Manufacturers and sponsors are responsible for supplying compliant medical devices, whereas users share responsibility for providing a cyber secure environment in which to use for these devices.
This document describes cyber security practices and protocols for the medical device sector and aims to help medical device users manage cyber security risk. It also helps support the Australian Government’s cyber security strategy.
This document is for groups or individuals who represent users of medical devices, including in-vitro diagnostic medical devices.
Main sections:
· Report potential cyber security issues
· Guidance for different users
· Guidance for patients and consumers
· Guidance for health and medical professionals
· Guidance for small business operators
· Guidance for large-scale service providers
· Cyber security intelligence and threat sharing
· Known vulnerabilities
· The evolving cyber security landscape",,Nov-22,Open,Active,"Therapeutic Goods Administration
Guidance Document
Medical device
Cyber security
Essential Eight",,
ST727,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/electronic-instructions-use-eifu.pdf,1,Electronic Instructions for Use – eIFU v1.0,For professional users of medical devices (including IVDs),This guideline aims to support manufacturers and sponsors who supply instructions for use of their medical devices in an electronic or online format.,"To reduce regulatory burden on the Australian medical device industry, the Therapeutic Goods Administration allows instructions for use of medical devices to be provided electronically in certain circumstances. This also aligns with similar regulators, such as Health Canada, the United States Food and Drug Administration and the European Commission.
This guideline aims to support manufacturers and sponsors who supply instructions for use of their medical devices via their website or other electronic format.
Main sections:
· Definitions
· Information that must be provided with a medical device
· Requirements for the provision of eIFU",Aug-18,,Open,Active,"Therapeutic Goods Administration
Guidance Document
Medical device
Medical device instructions
Online instructions",,
ST724,Therapeutic Goods Administration (TGA),Supplementary Resource,,https://www.tga.gov.au/sites/default/files/argb-appendix-11-guidance-tgo-107-standard-biologicals-labelling-requirements.pdf,2,ARGB Appendix 11 - Guidance on TGO 107: Standard for Biologicals – Labelling Requirements v2.0,Australian Regulatory Guidelines for Biologicals,"This document describes mandatory labelling requirements for biologicals and human cell and tissue (HCT) materials specifically for manufacturers, sponsors and providers of these materials, and should be read in conjunction with TGO 107.","The Therapeutic Goods (Standard for Biologicals—Labelling Requirements) (TGO 107) Order 2021 specifies the minimum requirements for labelling of biologicals and human cell and tissue (HCT) materials.
This document describes mandatory labelling requirements for biologicals and HCT materials specifically for manufacturers, sponsors and providers of these materials, and should be read in conjunction with TGO 107.
Main sections:
· About TGO 107
· Part 2 - Labelling requirements
· Annex 1: Location of requirements in dossier",Sep-21,Feb-23,Open,Active,"Therapeutic Goods Administration
Supplementary document
Labelling
Medical products of human origin
Cells and tissues
TGO 107",,
ST733,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/2024-04/regulatory-basics-medical-devices-health-practitioners.pdf,V 1.0,Regulatory basics on medical devices for health practitioners v1.0,,"This guidance is for Australian health practitioners who manufacture, supply and use medical devices. It helps them identify whether their devices are regulated by the Therapeutic Goods Administration (TGA) and it also advises how to comply with the requirements of the therapeutic goods legislation.","This guidance from the Therapeutic Goods Administration (TGA) is for Australian health practitioners who manufacture, supply and use medical devices. It helps them identify whether the devices are regulated by the TGA, and, if they are, it assists practitioners with how to comply with the requirements of the therapeutic goods legislation. Practitioners should note the information is indicative guidance only intended to help them identify:
a) how regulatory concepts might apply to them, and 
b) the specific features of a medical device and how circumstances of their own practice/business may affect the way it is regulated in Australia. 
Practitioners are responsible for ensuring they meet all relevant regulatory obligations when manufacturing, importing, supplying and using medical devices.
Main sections:
· Overview
· What is a medical device?
· Products that are not a medical device
· How are medical devices regulated?
· Manufacturing a medical device
· Manufacturer responsibilities
· Supplying a medical device
· Sector-specific examples for health practitioners",Mar-24,,Open,Active,"TGA
Guidance document
Medical devices
Regulation
Medical implants
Therapeutic goods legislation",,
ST728,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/2023-12/How-submit-custom-made-medical-device-patient-matched-medical-device-notification-guide.pdf,2,How to submit a custom-made medical device / patient-matched medical device notification v2.0,Step-by-step guide,This document describes how to complete and submit custom-made medical device and patient-matched medical device transition notifications.,"This document describes how to complete and submit custom-made medical device (CMMD) and patient-matched medical device (PMMD) transition notifications.
It is for manufacturers and sponsors who: 
· make, supply or import CMMDs 
· make or supply PMMDs supplied on or before 25 February 2021 and want these devices to be included in the Australian Register of Therapeutic Goods.
Main sections:
· Who needs to submit a CMMD notification
· Who needs to submit a PMMD notification
· Step 1: Getting started with the TGA
· Step 2: Access to the notification form
· Step 3: Submitting your CMMD Notification
· Step 4: After you have submitted a notification
· Further information and resources",,Dec-23,Open,Active,"Therapeutic Goods Administration
Guidance Document
Medical device
Custom-made medical device 
Patient-matched medical device
Notification
CMMD
PMMD
TGA",,
ST726,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/sites/default/files/2023-06/digital-tools-medical-devices.pdf,1,Digital tools and medical devices v1.0,Guidance for the mental health sector,"This document provides guidance for the mental health sector about when their digital tools, aids, apps and products, including internet-based services, may be regulated as medical devices by the TGA.","This document provides guidance for the mental health sector about when their digital tools, aids, apps and products, including internet-based services, may be regulated as medical devices by the Therapeutic Goods Administration (TGA).
It aims to support providers of digital mental health services or products understand their regulatory obligations and outlines key differences between regulation and oversight by the TGA for digital mental health tools and products.
Main sections:
· What is in scope of this document
· What is out of scope of this document
· What are Digital Mental Health Tools and Products
· When is digital technology a medical device?
· TGA regulation of digital mental health products
· Example Scenarios of Regulation
· Privacy and data protection
· Post-market monitoring and standard conditions of inclusion in the ARTG
· Post market reviews
· How to apply to the TGA for ARTG inclusion of your mental health product",,May-23,Open,Active,"Therapeutic Goods Administration
Guidance document
Regulation
Medical devices
Mental health
Apps",,
ST731,Therapeutic Goods Administration (TGA),Supplementary Resource,,https://www.tga.gov.au/sites/default/files/2023-03/medical-device-patient-information-materials-a-fact-sheet_for-health-professionals.pdf,,Medical device patient information materials: a fact sheet for health professionals,,"This fact sheet for health professionals discusses providing patients with information about their medical devices. It discusses who is responsible for providing patient information leaflets (PILs) and patient implant cards (PICs) to patients, and when they should be supplied.","In response to feedback from consumers about the lack of information available about medical devices, the Australian Government introduced the requirement for suppliers of implanted medical devices to provide more information for patients in the form of patient information leaflets (PILs) and patient implant cards (PICs). The PICs and PILs discuss the risks posed by medical devices and provide other important information about their implantable or active implantable medical devices. This fact sheet provides information for health professionals about who is responsible for providing the PILs and PICs to patients, and when they should be supplied.
Main sections:
· What are medical device patient information materials?
· Patient information leaflet (PIL)
· Patient implant card (PIC)
· Who is responsible for providing PILs and PICs to patients?
· What if I cannot find a PIL or PIC for my patient?",,May-23,Open,Active,"TGA
Supplementary resource
Medical device
Patient information leaflets
PILs
Patient implant cards
PICs
Medical Implants",,
ST544,Therapeutic Goods Administration (TGA),Supplementary Resource,,https://www.tga.gov.au/sites/default/files/2022-09/medicine-labels-guidance-tgo-91-and-tgo-92_0.pdf,2.3,Medicine labels: Guidance on TGO 91 and TGO 92 v2.3,,This document provides extensive guidance for medicine labelling rules TGO 91 and TGO 92. It clarifies and elaborates on the mandatory requirements and provides best practice recommendations for medicine labels.,"Therapeutic Goods Order (TGO) 91 is the medicine labelling standard for prescription medicines and TGO 92 is the medicine labelling standard for non-prescription medicines. This document provides extensive guidance for sponsors and manufacturers on how to apply these standards. 
The document provides detailed information about how information should be displayed on labels, including text size and colour contrast. It also includes specific guidance for different types of packaging, routes of administration and active ingredients. The label design best practice section covers topics including the use of capital letters, Braille and other languages; user-centred design; QR codes; the inclusion of additional information; and how to express the names and strength of active ingredients.
Main sections:
- Introduction
- Using the Orders
- Mandatory requirements - specific medicine types
- Recommendations and best practice
- Tabulated display of critical health information",Mar-21,,Open,Active,"TGA
Supplementary resource
TGO 91
TGO 92
Labelling
Regulation
Medicines
Prescription medicines
Non-prescription medicines",,
ST725,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/resources/resource/guidance/australian-regulatory-guidelines-medical-devices-argmd,,Australian Regulatory Guidelines for Medical Devices (ARGMD),,"This guidance provides information on the import, export and supply of medical devices within Australia.","This guidance provides information on the import, export and supply of medical devices within Australia.
Main sections:
· Frequently requested information
· Essential principles
· Conformity assessment
· Medical device inclusion
· Post market",,Nov-23,Open,Active,"Therapeutic Goods Administration
Guidelines
Medical device
Regulation
Export
Import",,
ST732,Therapeutic Goods Administration (TGA),Guidance Document,,https://www.tga.gov.au/how-we-regulate/manufacturing/medical-devices/manufacturer-guidance-specific-types-medical-devices/regulation-software-based-medical-devices,,Regulation of software based medical devices,,"This document provides information on the regulation in Australia for software and apps which meet the legislated definition of a medical device. It helps manufacturers and sponsors understand how the Therapeutic Goods Administration (TGA) interprets requirements, and how they can comply with the regulations.","Software-based medical devices are medical devices that incorporate software or are software. Software is becoming increasingly important in medical devices, and as a medical device in its own right. Many devices are now available to inform users, drive or replace clinical decisions, or directly provide therapy to an individual. This increase in the number and availability of these devices meant new Australian regulations were needed to ensure patient safety. 
This document provides information on the regulation in Australia for software and apps which meet the legislated definition of a medical device according to section 41BD of the Therapeutic Goods Act 1989, unless otherwise excluded. It does not apply to mobile apps that are simply sources of information, or tools to manage a healthy lifestyle. This information will help manufacturers and sponsors understand how the TGA interprets requirements, and thus indicate how they can comply with the regulations.
Main sections:
· Baby movement apps
· Communication program
· Software as a Medical Device (SaMD)
· Regulation of Digital Therapeutics (DTx)
· International regulatory activities
· Risks of harm
· Artificial intelligence chat, text, and language",,Jul-24,Open,Active,"TGA
Guidance document
Medical devices
Regulation
Software based medical devices
Mobile health apps
Medical apps",,
ST907,SNOMED,Supplementary Resource,,https://www.snomed.org/_files/ugd/49d95c_f459b707401c44a988bb905ab931d092.pdf,,Working with SNOMED CT as a Clinician,Information about SNOMED CT and SNOMED International’s clinical engagement initiatives,This factsheet provides an overview of SNOMED CT’s engagement with clinicians.,"This factsheet provides an overview of SNOMED CT’s engagement with clinicians. Engaging with clinicians is fundamental to ensuring that the SNOMED CT product is, and continues to be, fit to support clinical practice. Clinical input to support the development of SNOMED CT is an integral part of producing electronic health information consistently, reliably and comprehensively.
Main sections:
· Our commitment to clinical engagement
· SNOMED CT: A quality product
· Collaboration
· Join our community",,,Open,Active,"SNOMED
Supplementary resource
Terminology
Clinicians
SNOMED CT
Engagement
SNOMED development",,
ST1137,SNOMED,User Guide,,https://www.snomed.org/_files/ugd/49d95c_15f2a4ae18fa4bdcacf11399e13d28c5.pdf,,Software & tooling,,"SNOMED International offers a range of software and tools to use and work with SNOMED CT, as well as supporting a growing community of developers. This resource lists SNOMED CT software and tools.","SNOMED International offers a range of software and tools to use and work with SNOMED CT, as well as supporting a growing community of developers. All software developed by SNOMED International is available under an open-source licence and available to any stakeholder wishing to use the tools in their own environment This resource lists SNOMED CT software and tools.",,,Open,Active,"SNOMED
User guide
Terminology
Electronic health records
SNOMED CT",,
ST908,SNOMED,Supplementary Resource,,https://www.snomed.org/_files/ugd/49d95c_05819a69ce4d49e59002c3f98145a032.pdf,,Working with SNOMED CT as a Vendor,Helping the vendor community extend SNOMED CT functionality and benefits directly to their customers,This factsheet provides an overview of SNOMED CT for vendors.,"This factsheet provides an overview of SNOMED CT for vendors. SNOMED CT enables vendors to implement a stable, multilingual, quality-assured, clinical terminology with a consistent release cycle that allows clinical data to be entered once but used many times.
Main sections:
· What is SNOMED CT?
· Why SNOMED CT?
· Benefits to using SNOMED CT in your solution
· Get involved with us
· How to get SNOMED CT",,,Open,Active,"SNOMED
Supplementary resource
Terminology
Clinical data
Vendors
SNOMED CT",,
ST1561,Australian Commission on Safety and Quality in Health Care (ACSQHC),Guidance Document,D23-51832,https://www.safetyandquality.gov.au/standards/environmental-sustainability-and-climate-resilience-healthcare-module,,Environmental Sustainability and Climate Resilience Healthcare Module,,"The document provides a framework of environmental sustainability and climate resilience actions that use a health service organisation’s existing governance, safety and quality systems.","This module helps health service organisations to include environmental sustainability and climate resilience measures and targets when setting priorities and strategies for their services. It also applies when partnering with consumers and First Nations people to design, monitor and evaluate services. Actions taken to measure and address sustainability outcomes should form part of the health service organisation’s safety and quality performance monitoring.
The module provides a framework of actions that use existing governance, safety and quality systems that health service organisations already have implemented. It can be applied together with any of the national safety and quality standards developed by the Australian Commission on Safety and Quality in Health Care, and it aligns with the strategic work on climate change developed by the Australian Government Department of Health and Aged Care.
Main sections:
- Explanatory note
- Consumer statement
- Intent of the module (actions)
- Glossary",Nov-23,,Open,Draft,"ACSQHC
Supplementary resource
D23-51832
Climate change
Climate resilience
Sustainability
Environmental",,
ST313,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/migrated/Osteoarthritis-of-the-knee-Clinical-Care-Standard.pdf,,Osteoarthritis of the Knee Clinical Care Standard,,This clinical care standard describes the care that should be received by patients aged 45+ when they have knee pain and may have knee osteoarthritis.,"Osteoarthritis is a chronic disease of the synovial joints, resulting in pain accompanied by varying degrees of functional limitation and reduced quality of life.
This clinical care standard describes the care that should be received by patients aged 45+ when they have knee pain and may have knee osteoarthritis. It covers initial clinical assessment, ongoing conservative management over the course of the condition and referral to surgery, if required.
Main sections:
- Osteoarthritis of the knee clinical care standard
- About the clinical care standards
- Comprehensive assessment
- Diagnosis
- Education and self-management
- Weight loss and exercise
- Medicines used to manage symptoms
- Patient review
- Surgery
- Indicator to support patient experience",May-17,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Osteoarthritis
Knee",,
ST307,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/migrated/Heavy-Menstrual-Bleeding-Clinical-Care-Standard.pdf,,Heavy Menstrual Bleeding Clinical Care Standard ,,This clinical care standard describes the care that should be received by women of reproductive age who have heavy menstrual bleeding.,"Heavy menstrual bleeding is excessive menstrual bleeding that interferes with quality of life. 
This clinical care standard describes the care that should be received by women of reproductive age who have heavy menstrual bleeding. It covers management from first recognition of clinically significant heavy menstrual bleeding until its resolution either before or at menopause.
Main sections:
- Heavy menstrual bleeding clinical care standard
- About the clinical care standards
- General principles of care
- Using the clinical care standard
- Quality statement 1 - Assessment and diagnosis
- Quality statement 2 - Informed choice and shared decision making
- Quality statement 3 - Initial treatment is pharmaceutical
- Quality statement 4 - Quality ultrasound
- Quality statement 5 - Intra-uterine hormonal devices
- Quality statement 6 - Specialist referral
- Quality statement 7 - Uterine-preserving alternatives to hysterectomy
- Quality statement 8 - Hysterectomy
- Overall indicators for local monitoring",Oct-17,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Heavy menstrual bleeding",,
ST308,Australian Commission on Safety and Quality in Health Care (ACSQHC),Supplementary Resource,,https://www.safetyandquality.gov.au/sites/default/files/migrated/Evidence-sources-document.pdf,,Heavy Menstrual Bleeding Clinical Care Standard - Evidence Sources,,This document lists the evidence sources that were used to develop the Heavy Menstrual Bleeding Clinical Care Standard 2017.,This document lists the evidence sources that were used to develop the Heavy Menstrual Bleeding Clinical Care Standard 2017. It also describes the literature search process that was followed.,Oct-17,,Open,Active,"ACSQHC
Supplementary resource
Clinical Care Standard
Patient care
Clinical care
Quality
Heavy menstrual bleeding",,
ST549,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2024-03/clinical_care_for_aboriginal_and_torres_strait_islander_peoples_using_aged_care_services._rapid_review_-_march_2024.pdf,,Clinical care for Aboriginal and Torres Strait Islander peoples using aged care services,A rapid review,This literature review provides recommendations for aged care services to provide high-quality clinical care in a culturally safe and responsive environment for older Aboriginal and Torres Strait Islander people.,"This literature review highlights the importance of culturally safe, responsive and holistic approaches to ageing and aged care for older Aboriginal and Torres Strait Islander people. It provides recommendations for aged care services to provide high-quality clinical care in a culturally safe and responsive environment for older Aboriginal and Torres Strait Islander people.
Main sections:
- A story of good clinical care
- Background
- Objectives
- Method
- Study characteristics
- Study themes and synthesis of barriers and enablers
- Principles for change and emerging practice
- Discussion
- Conclusion
- References",Mar-24,,Open,Active,"Standard
ACSQHC
Clinical care
Aged care
Aboriginal and Torres Strait Islander people
Cultural safety
Holistic",,
ST332,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2024-01/requirements_for_cervical_screening_first_edition_2023.pdf,1,Requirements for cervical screening v1,,"This document describes the standard of care consumers can expect from pathology laboratories that test self-collected vaginal swabs, specifying the minimum standards that pathology laboratories must meet. ","Cervical screening participants can collect their own cervical screening test specimen. 
This document describes the standard of care consumers can expect from pathology laboratories that test self-collected vaginal swabs, specifying the minimum standards that pathology laboratories must meet. 
Main sections:
- Clinical governance
- Risk management
- Quality management
- Personnel
- Specimens
- Equipment
- Reporting",2023,,Open,Active,"ACSQHC
NPAAC
Standard
Pathology
Laboratory
Cervical screening
Self-collect",,
ST333,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2023-12/national_safety_and_quality_cosmetic_surgery_standards.pdf,,National Safety and Quality Cosmetic Surgery Standards,,The National Safety and Quality Cosmetic Surgery Standards have been developed to protect the public from harm and improve the quality of cosmetic surgery in Australia.,"Cosmetic surgery uses surgical interventions for aesthetic purposes, and has grown rapidly in Australia.
The National Safety and Quality Cosmetic Surgery Standards have been developed to protect the public from harm and improve the quality of cosmetic surgery in Australia. They are person-centred and describe the processes and structures that are needed to deliver safe and high-quality clinical care.
Main sections:
- Clinical governance standard
- Partnering with consumers standard
- Preventing and controlling infections standard
- Medication safety standard
- Comprehensive care standard
- Communicating for safety standard
- Recognising and responding to acute deterioration standard",2023,,Open,Active,"ACSQHC
Standard
NSQHS Standards
Cosmetic surgery",,
ST746,Australian Commission on Safety and Quality in Health Care (ACSQHC),Supplementary Resource,D23-51832,https://www.safetyandquality.gov.au/sites/default/files/2023-11/environmental_sustainability_and_climate_resilience_healthcare_module_-_draft_version_november_2023.pdf,,Environmental Sustainability and Climate Resilience Healthcare Module,Draft version,"The document provides a framework of environmental sustainability and climate resilience actions that use a health service organisation’s existing governance, safety and quality systems.","This module helps health service organisations to include environmental sustainability and climate resilience measures and targets when setting priorities and strategies for their services. It also applies when partnering with consumers and First Nations people to design, monitor and evaluate services. Actions taken to measure and address sustainability outcomes should form part of the health service organisation’s safety and quality performance monitoring.
The module provides a framework of actions that use existing governance, safety and quality systems that health service organisations already have implemented. It can be applied together with any of the national safety and quality standards developed by the Australian Commission on Safety and Quality in Health Care, and it aligns with the strategic work on climate change developed by the Australian Government Department of Health and Aged Care.
Main sections:
· Explanatory note
· Consumer statement
· Intent of the module (actions)
· Glossary",Nov-23,,Open,Draft,"ACSQHC
Supplementary resource
D23-51832
Climate change
Climate resilience
Sustainability
Environmental",,
ST355,Australian Commission on Safety and Quality in Health Care (ACSQHC),Supplementary Resource,,https://www.safetyandquality.gov.au/sites/default/files/2023-09/unisa_literature_review_-_safety_and_quality_in_diagnostic_imaging.pdf,,Literature review: Safety and quality in diagnostic imaging,,"This literature review describes the national and international standards that underpin diagnostic imaging, as well as strategies to improve patient safety, quality and unwarranted variation in diagnostic imaging.","This 158-page report summarises the literature on safety and quality in diagnostic imaging. It describes the national and international standards that underpin diagnostic imaging, as well as strategies to improve patient safety, quality and unwarranted variation in diagnostic imaging. It will inform a review of the Diagnostic Imaging Accreditation Scheme Standards.
Main sections:
- Introduction
- Methods
- Findings
- What are the main patient safety and quality care risks relevant to diagnostic imaging?
- What interventions can minimise patient safety and quality risks relevant to diagnostic imaging? What is the evidence for the effectiveness of these interventions?
- What areas of diagnostic imaging have unwarranted variation?
- What improvements can address unwarranted variation?
- What standards operate nationally and internationally for diagnostic imaging and what do the standards address?
- Gaps in the evidence
- Discussion
- Conclusion
- Appendices
- References",Jul-22,,Open,Active,"ACSQHC
Supplementary resource
Digital imaging
Radiology
Diagnostic imaging
Accreditation
Quality
Literature review",,
ST309,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2023-09/hip-fracture-clinical-care-standard-2023.pdf,,Hip Fracture Clinical Care Standard ,,"This clinical care standard describes the care that should be received by people with a suspected hip fracture, from presentation to hospital through to completion of treatment and discharge from hospital.","This clinical care standard describes the care that should be received by people with a suspected hip fracture, from presentation to hospital through to completion of treatment and discharge from hospital. This clinical care standard targets patients aged 50+, but also applies to younger people with hip fractures caused by osteoporosis or osteopenia.
Main sections:
- Hip fracture clinical care standard
- Indicators for local monitoring
- Clinical care standards
- About the hip fracture clinical care standard
- How to use this clinical care standard
- Quality statement 1 - Care at presentation
- Quality statement 2 - Pain management
- Quality statement 3 - Orthogeriatric model of care
- Quality statement 4 - Timing of surgery
- Quality statement 5 - Mobilisation and weight bearing
- Quality statement 6 - Minimising risk of another fracture
- Quality statement 7 - Transition from hospital care",,Sep-23,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Hip fracture",,
ST354,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2023-09/acsqhc_diagnostic_imaging_accreditation_scheme_standards_2016_september_2023_0.pdf,,Diagnostic Imaging Accreditation Scheme Standards,,These standards provide a consistent statement on the level of care consumers can expect from diagnostic imaging practices.,"These standards provide a consistent statement on the level of care consumers can expect from diagnostic imaging practices. The standards aim to protect the public from harm and improve the quality of imaging delivered.
Main sections:
- Organisational standards
- Pre-procedure standards
- Procedure standards
- Post-procedure standards",2016,,Open,Active,"ACSQHC
Standard
Digital imaging
Radiology
Diagnostic imaging
Accreditation
Quality",,
ST322,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2023-08/requirements_for_supervision_in_the_clinical_governance_of_medical_pathology_laboratories_seventh_edition_2023.pdf,7,Requirements for supervision in the clinical governance of medical pathology laboratories v7,,This document outlines the role and responsibilities of the designated person described in the Tier 2 document - the key medical practitioner leading a medical pathology service.,"The Requirements for Supervision in the Clinical Governance of Medical Pathology Laboratories (seventh edition, 2023) is a Tier 3A NPAAC document and must be read in conjunction with the Tier 2 document Requirements for Medical Pathology Services.
This document outlines the role and responsibilities of the designated person described in the Tier 2 document - the key medical practitioner leading a medical pathology service. It describes the categories of pathology laboratories, and the competencies and roles of key staff.
Main sections:
- Supervision of medical pathology services
- Categories of medical pathology services
- Supervision requirements
- Supervision of Category S laboratories (specialised)
- Supervision of Category M laboratories (medical
- Consultation
- Required supervisory activities and conditions (normative)
- Specific restrictions relating to Category M laboratories (normative)
- Pathology disciplines with national workforce shortages (informative)",,2023,Open,Active,"ACSQHC
NPAAC
Standard
Pathology
Laboratory
Quality
Governance
Risk management",,
ST304,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2023-08/cataract-clinical-care-standard.PDF,,Cataract Clinical Care Standard ,,"This clinical care standard describes the care that should be received by people aged 18+ who have cataract, in all healthcare settings.","Cataract is a condition that can cause problems with vision when the lens of the eye becomes cloudy.
This clinical care standard describes the care that should be received by people aged 18+ who have cataract, in all healthcare settings. It covers assessment, decisions about cataract surgery and postoperative care. It articulates key elements for an improved pathway of care, including referral, assessment and surgery.
Main sections:
- Cataract clinical care standard
- Indicators for local monitoring
- About the clinical care standards
- Cataract
- Purpose of the cataract clinical care standard
- How to use this clinical care standard
- Using referral guidelines to increase cataract surgery rates
- Quality statement 1 - Primary care assessment and referral
- Quality statement 2 - Patient information and shared decision making
- Quality statement 3 - Access to ophthalmology assessment
- Quality statement 4 - Indications for cataract surgery
- Quality statement 5 - Prioritisation for cataract surgery
- Quality statement 6 - Second-eye surgery
- Quality statement 7 - Preventive eye medicines
- Quality statement 8 - Postoperative care",Aug-21,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Cataract
Eye care",,
